#SampleID	Metaphlan2_Analysis
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Ceratocystidaceae|g__Huntiella	0.05804
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae|g__Hyaloscypha	0.0215
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Paxillaceae|g__Hydnomerulius	0.01505
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Hygrophoraceae|g__Hygrocybe	0.0129
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiaceae|g__Hymenoscyphus	0.0215
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Hyphopichia	0.05159
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Hypoxylaceae|g__Hypomontagnella	0.0129
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae|g__Hypomyces	0.01075
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Hypoxylaceae|g__Hypoxylon	0.03869
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Lyophyllaceae|g__Hypsizygus	0.04299
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Ilyonectria	0.06449
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Boletaceae|g__Imleria	0.0129
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Hymenochaetales|f__Hymenochaetaceae|g__Inonotus	0.03439
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Irpicaceae|g__Irpex	0.07954
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Jaapiales|f__Jaapiaceae|g__Jaapia	0.0129
k__Fungi|p__Mucoromycota|c__Endogonomycetes|o__Endogonales|f__Endogonaceae|g__Jimgerdemannia	0.0043
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Kalmanozyma	0.0215
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Keithomyces	0.01935
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Kluyveromyces	0.83192
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Trichomeriaceae|g__Knufia	0.03439
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae|g__Komagataella	1.53701
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Hydnangiaceae|g__Laccaria	0.48367
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Lachancea	0.46863
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Russulales|f__Russulaceae|g__Lactarius	0.10748
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Laetiporaceae|g__Laetiporus	0.01505
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Lasiodiplodia	0.35899
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Lentamycetaceae|g__Lentamyces	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Omphalotaceae|g__Lentinula	0.9394
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Polyporaceae|g__Lentinus	0.06664
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__<not present>|f__<not present>|g__Leohumicola	0.00645
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Clitocybaceae|g__Lepista	0.02365
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Ophiostomatales|f__Ophiostomataceae|g__Leptographium	0.06664
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Leptosphaeriaceae|g__Leptosphaeria	0.27086
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae|g__Leucoagaricus	0.04084
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Clitocybaceae|g__Leucocalocybe	0.0129
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae|g__Leucocoprinus	0.01505
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Leucosporidiales|f__Leucosporidiaceae|g__Leucosporidium	0.00645
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales|f__Erysiphaceae|g__Leveillula	0.0043
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Lichtheimiaceae|g__Lichtheimia	0.09459
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Lulworthiales|f__Lulworthiaceae|g__Lindra	0.03224
k__Fungi|p__Mucoromycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Linnemannia	0.06019
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Lipomycetaceae|g__Lipomyces	0.05374
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Peltigerales|f__Lobariaceae|g__Lobaria	0.06019
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Lodderomyces	0.0086
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Rhytismatales|f__Rhytismataceae|g__Lophodermium	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Phallales|f__Phallaceae|g__Lysurus	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Callistosporiaceae|g__Macrocybe	0.01075
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Macrophomina	0.03439
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Magnaporthaceae|g__Magnaporthiopsis	0.04729
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae|g__Malassezia	0.45573
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Malbrancheaceae|g__Malbranchea	0.07739
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Exobasidiales|f__Brachybasidiaceae|g__Meira	0.01505
k__Fungi|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Melampsoraceae|g__Melampsora	0.06664
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coronophorales|f__Ceratostomataceae|g__Melanospora	0.06879
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Chaetosphaeriales|f__Chaetosphaeriaceae|g__Menisporopsis	0.0043
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Metarhizium	0.6449
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae|g__Metschnikowia	0.03224
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Meyerozyma	0.13973
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Microascaceae|g__Microascus	0.0301
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Microbotryales|f__Microbotryaceae|g__Microbotryum	0.07739
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Microdochiaceae|g__Microdochium	0.0258
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae|g__Microsporum	0.08169
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Moesziomyces	0.04729
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Monascus	0.18917
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Monilinia	0.14403
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Hyponectriaceae|g__Monographella	0.0129
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Morchellaceae|g__Morchella	0.18487
k__Fungi|p__Mucoromycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Mortierella	0.03224
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Cystofilobasidiales|f__Mrakiaceae|g__Mrakia	0.0258
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae|g__Mucor	0.19347
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Mycenaceae|g__Mycena	0.13113
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mycotyphaceae|g__Mycotypha	0.0043
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Naemateliaceae|g__Naematelia	0.0086
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales|f__Filobasidiaceae|g__Naganishia	0.01075
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Nakaseomyces	0.87491
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Magnaporthaceae|g__Nakataea	0.00645
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae|g__Nalanthamala	0.03654
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Naumovozyma	0.18487
k__Fungi|p__Microsporidia|c__<not present>|o__<not present>|f__<not present>|g__Nematocida	0.09244
k__Fungi|p__Chytridiomycota|c__Neocallimastigomycetes|o__Neocallimastigales|f__Neocallimastigaceae|g__Neocallimastix	0.48797
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae|g__Neofusicoccum	0.04514
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Omphalotaceae|g__Neonothopanus	0.00645
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora	7.62699
k__Fungi|p__Microsporidia|c__<not present>|o__<not present>|f__Nosematidae|g__Nosema	0.28376
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Gelatoporiaceae|g__Obba	0.01505
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Ogataea	0.24506
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__<not present>|f__Myxotrichaceae|g__Oidiodendron	0.06234
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales|f__Erysiphaceae|g__Oidium	0.0086
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Magnaporthaceae|g__Omnidemptus	0.0043
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Ophioceraceae|g__Ophioceras	0.01075
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Ophiocordycipitaceae|g__Ophiocordyceps	0.32675
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Ophiostomatales|f__Ophiostomataceae|g__Ophiostoma	0.08384
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae|g__Orbilia	0.39339
k__Fungi|p__Chytridiomycota|c__Neocallimastigomycetes|o__Neocallimastigales|f__Neocallimastigaceae|g__Orpinomyces	0.03869
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Mycenaceae|g__Panellus	0.0129
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Rhynchogastremataceae|g__Papiliotrema	0.01075
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__<not present>|g__Paracoccidioides	0.06019
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymosphaeriaceae|g__Paraphaeosphaeria	0.04084
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae|g__Paraphoma	0.00645
k__Fungi|p__Blastocladiomycota|c__Physodermatomycetes|o__Physodermatales|f__Physodermataceae|g__Paraphysoderma	0.04944
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Microascaceae|g__Parascedosporium	0.0258
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae|g__Parastagonospora	0.0172
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Paxillaceae|g__Paxillus	0.06664
k__Fungi|p__Chytridiomycota|c__Neocallimastigomycetes|o__Neocallimastigales|f__Neocallimastigaceae|g__Pecoramyces	0.0172
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__<not present>|f__<not present>|g__Peltaster	0.01075
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Peltigerales|f__Peltigeraceae|g__Peltigera	0.0086
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae|g__Penicillium	2.02068
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Sporocadaceae|g__Pestalotiopsis	0.05159
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Togniniales|f__Togniniaceae|g__Phaeoacremonium	0.07954
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Phaeomoniellales|f__Phaeomoniellaceae|g__Phaeomoniella	0.0086
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae|g__Phaeosphaeria	0.00645
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Cystofilobasidiales|f__Mrakiaceae|g__Phaffia	0.18272
k__Fungi|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Phakopsoraceae|g__Phakopsora	0.48797
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Phanerochaetaceae|g__Phanerochaete	0.07524
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Phanerochaetaceae|g__Phanerodontia	0.38049
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Kriegeriales|f__Kriegeriaceae|g__Phenoliferia	0.0043
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Mollisiaceae|g__Phialocephala	0.07739
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae|g__Phialophora	0.00645
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Meruliaceae|g__Phlebia	0.06664
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Phanerochaetaceae|g__Phlebiopsis	0.09888
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Boletinellaceae|g__Phlebopus	0.03869
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Cortinariaceae|g__Phlegmacium	0.0129
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Phycomycetaceae|g__Phycomyces	0.08814
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Phyllostictaceae|g__Phyllosticta	0.0129
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Rhizinaceae|g__Phymatotrichopsis	0.03224
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Pichiaceae|g__Pichia	0.3074
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Polyporaceae|g__Pilatotrama	0.04514
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Atheliales|f__Atheliaceae|g__Piloderma	0.05804
k__Fungi|p__Zoopagomycota|c__Zoopagomycetes|o__Zoopagales|f__Piptocephalidaceae|g__Piptocephalis	0.0086
k__Fungi|p__Chytridiomycota|c__Neocallimastigomycetes|o__Neocallimastigales|f__Neocallimastigaceae|g__Piromyces	0.13758
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Pisolithaceae|g__Pisolithus	0.13758
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Plectosphaerella	0.0086
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Phyllotopsidaceae|g__Pleurocybella	0.0043
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Lecanorales|f__Parmeliaceae|g__Pleurosticta	0.0129
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Pleurotaceae|g__Pleurotus	1.08988
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Amylocorticiales|f__Amylocorticiaceae|g__Plicaturopsis	0.07309
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales|f__Pneumocystidaceae|g__Pneumocystis	0.14403
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae|g__Pochonia	0.04514
k__Fungi|p__Mucoromycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae|g__Podila	0.00645
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales|f__Erysiphaceae|g__Podosphaera	1.24035
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Podosporaceae|g__Podospora	0.09029
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Polyporaceae|g__Polyporus	0.04299
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Hymenochaetales|f__Hymenochaetaceae|g__Porodaedalea	0.00645
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Postiaceae|g__Postia	0.9308
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Pseudocercospora	0.0301
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__<not present>|f__Pseudeurotiaceae|g__Pseudogymnoascus	0.09888
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Ophioceraceae|g__Pseudohalonectria	0.00645
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Sporocadaceae|g__Pseudopestalotiopsis	0.03869
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Magnaporthaceae|g__Pseudophialophora	0.00645
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pseudopyrenochaetaceae|g__Pseudopyrenochaeta	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Strophariaceae|g__Psilocybe	0.0172
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Pterulaceae|g__Pterula	0.09673
k__Fungi|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Pucciniaceae|g__Puccinia	3.10411
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Ophiocordycipitaceae|g__Purpureocillium	0.05589
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Cucurbitariaceae|g__Pyrenochaeta	0.0043
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Pyrenophora	0.17627
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Pyriculariaceae|g__Pyricularia	1.70038
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pyronemataceae|g__Pyronema	0.07524
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Hymenochaetales|f__Hymenochaetaceae|g__Pyrrhoderma	0.03869
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Ophiostomatales|f__Ophiostomataceae|g__Raffaelea	0.02795
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Dissoconiaceae|g__Ramichloridium	0.0129
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Ramularia	0.72658
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes|o__Chytridiales|f__Chytriomycetaceae|g__Rhizoclosmatium	0.02795
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Ceratobasidiaceae|g__Rhizoctonia	0.54601
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Lichtheimiaceae|g__Rhizomucor	0.0043
k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Glomerales|f__Glomeraceae|g__Rhizophagus	0.82332
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Rhizopodaceae|g__Rhizopus	0.52452
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Fomitopsidaceae|g__Rhodofomes	0.0043
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales|f__Sporidiobolaceae|g__Rhodosporidiobolus	0.0129
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales|f__Sporidiobolaceae|g__Rhodotorula	0.67929
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Ploettnerulaceae|g__Rhynchosporium	0.0129
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Hymenochaetales|f__Rickenellaceae|g__Rickenella	0.03439
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Meripilaceae|g__Rigidoporus	0.0258
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Xylariaceae|g__Rosellinia	0.04729
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Russulales|f__Russulaceae|g__Russula	0.0086
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	4.35736
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycopsidaceae|g__Saccharomycopsis	0.21927
k__Fungi|p__Ascomycota|c__<not present>|o__<not present>|f__<not present>|g__Saitoella	0.00645
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Trimorphomycetaceae|g__Saitozyma	0.04084
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Cordycipitaceae|g__Samsoniella	0.02795
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Hymenochaetales|f__Hymenochaetaceae|g__Sanghuangporus	0.04084
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae|g__Saprochaete	0.0043
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Sarocladiaceae|g__Sarocladium	0.0086
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Scheffersomyces	0.02365
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Schizophyllaceae|g__Schizophyllum	0.2902
k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales|f__Schizosaccharomycetaceae|g__Schizosaccharomyces	0.17627
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Sclerotinia	0.93725
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Microascaceae|g__Scopulariopsis	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Sebacinales|f__Serendipitaceae|g__Serendipita	0.05374
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Serpulaceae|g__Serpula	0.05159
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Shiraiaceae|g__Shiraia	0.10103
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Cordycipitaceae|g__Simplicillium	0.00645
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Magnaporthaceae|g__Slopeiomyces	0.0043
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Plectosphaerellaceae|g__Sodiomyces	0.00645
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales|f__Piskurozymaceae|g__Solicoccozyma	0.0043
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Sordaria	0.10103
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Sparassidaceae|g__Sparassis	0.02365
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae|g__Spathaspora	0.12253
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coronophorales|f__Ceratostomataceae|g__Sphaerodes	0.0086
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae|g__Sphaerulina	0.0129
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Spiromastigoidaceae|g__Spiromastigoides	0.0043
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes|o__Spizellomycetales|f__Spizellomycetaceae|g__Spizellomyces	0.0043
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales|f__Sporidiobolaceae|g__Sporidiobolus	0.02365
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales|f__Ustilaginaceae|g__Sporisorium	0.14188
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales|f__Sporidiobolaceae|g__Sporobolomyces	0.01935
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Ophiostomatales|f__Ophiostomataceae|g__Sporothrix	0.01935
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae|g__Stagonosporopsis	0.02365
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__<not present>|g__Starmerella	0.07309
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Stemphylium	0.03439
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae|g__Stromatinia	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Strophariaceae|g__Stropharia	0.05804
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Suillaceae|g__Suillus	0.10533
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes|o__Synchytriales|f__Synchytriaceae|g__Synchytrium	0.07309
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Taiwanofungaceae|g__Taiwanofungus	0.12683
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Trichocomaceae|g__Talaromyces	0.15048
k__Fungi|p__Ascomycota|c__Taphrinomycetes|o__Taphrinales|f__Taphrinaceae|g__Taphrina	0.01075
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Teratosphaeriaceae|g__Teratosphaeria	0.0215
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae|g__Terfezia	0.03869
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Lyophyllaceae|g__Termitomyces	0.04944
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__<not present>|g__Tetracladium	0.0043
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Tetrapisispora	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Marasmiaceae|g__Tetrapyrgos	0.0129
